cyc_number,speed,pressure,time,lat,lon,lead_time,forecast_time,name,speed_knots,category_numeric,nameyear
9,18.7,1015.8,2006-10-02 00:00:00,36.2,297.7,24,2006-10-01 00:00:00,isaac,36.349807999999996,1,isaac2006
9,17.7,1015.8,2006-10-01 18:00:00,33.9,298.0,18,2006-10-01 00:00:00,isaac,34.405968,1,isaac2006
9,17.2,1016.4,2006-10-01 12:00:00,32.5,298.2,12,2006-10-01 00:00:00,isaac,33.434048,1,isaac2006
9,16.0,1015.0,2006-10-01 06:00:00,31.7,298.8,6,2006-10-01 00:00:00,isaac,31.10144,0,isaac2006
9,13.1,1015.9,2006-10-01 00:00:00,31.0,299.7,0,2006-10-01 00:00:00,isaac,25.464304,0,isaac2006
9,21.8,1001.5,2006-10-03 00:00:00,46.5,306.0,36,2006-10-01 12:00:00,isaac,42.375712,1,isaac2006
9,20.1,999.9,2006-10-03 06:00:00,48.7,308.6,42,2006-10-01 12:00:00,isaac,39.071184,1,isaac2006
9,25.2,1006.3,2006-10-02 12:00:00,41.7,301.8,24,2006-10-01 12:00:00,isaac,48.984767999999995,2,isaac2006
9,24.2,1011.3,2006-10-02 06:00:00,38.9,300.3,18,2006-10-01 12:00:00,isaac,47.040928,2,isaac2006
9,20.1,1014.9,2006-10-02 00:00:00,36.1,299.0,12,2006-10-01 12:00:00,isaac,39.071184,1,isaac2006
9,18.2,1015.2,2006-10-01 18:00:00,34.3,298.5,6,2006-10-01 12:00:00,isaac,35.377888,1,isaac2006
9,14.3,1015.9,2006-10-01 12:00:00,32.9,298.6,0,2006-10-01 12:00:00,isaac,27.796912000000003,0,isaac2006
9,23.7,1001.3,2006-10-02 18:00:00,44.5,303.8,30,2006-10-01 12:00:00,isaac,46.069008,1,isaac2006
9,23.3,1000.5,2006-10-03 00:00:00,47.8,307.1,24,2006-10-02 00:00:00,isaac,45.291472,1,isaac2006
9,19.2,999.3,2006-10-03 06:00:00,49.5,309.2,30,2006-10-02 00:00:00,isaac,37.321728,1,isaac2006
9,14.8,1013.6,2006-10-02 00:00:00,36.7,299.4,0,2006-10-02 00:00:00,isaac,28.768832000000003,0,isaac2006
9,25.7,1008.8,2006-10-02 06:00:00,39.8,300.8,6,2006-10-02 00:00:00,isaac,49.956688,2,isaac2006
9,26.1,1003.0,2006-10-02 12:00:00,42.6,302.3,12,2006-10-02 00:00:00,isaac,50.734224000000005,2,isaac2006
9,24.1,999.2,2006-10-02 18:00:00,45.4,304.3,18,2006-10-02 00:00:00,isaac,46.846544,1,isaac2006
9,21.3,1001.3,2006-10-03 00:00:00,47.8,308.5,12,2006-10-02 12:00:00,isaac,41.403792,1,isaac2006
9,22.7,1000.6,2006-10-02 18:00:00,45.8,305.5,6,2006-10-02 12:00:00,isaac,44.125168,1,isaac2006
9,18.7,1004.6,2006-10-02 12:00:00,43.0,302.8,0,2006-10-02 12:00:00,isaac,36.349807999999996,1,isaac2006
9,0.0,0.0,2006-10-03 00:00:00,0.0,0.0,0,2006-10-03 00:00:00,isaac,0.0,0,isaac2006
15,9.1,1007.7,2006-10-13 12:00:00,18.3,246.5,84,2006-10-10 00:00:00,norman,17.688944,0,norman2006
15,8.8,1010.1,2006-10-13 06:00:00,18.4,246.6,78,2006-10-10 00:00:00,norman,17.105792,0,norman2006
15,5.3,1007.0,2006-10-13 00:00:00,16.3,248.1,72,2006-10-10 00:00:00,norman,10.302351999999999,0,norman2006
15,7.6,1010.4,2006-10-12 18:00:00,17.5,247.0,66,2006-10-10 00:00:00,norman,14.773183999999999,0,norman2006
15,12.3,1011.0,2006-10-12 06:00:00,18.0,245.7,54,2006-10-10 00:00:00,norman,23.909232000000003,0,norman2006
15,13.8,1008.4,2006-10-12 00:00:00,17.6,245.5,48,2006-10-10 00:00:00,norman,26.824992,0,norman2006
15,8.6,1008.2,2006-10-12 12:00:00,17.9,246.0,60,2006-10-10 00:00:00,norman,16.717024,0,norman2006
15,11.8,1010.1,2006-10-10 06:00:00,17.4,241.7,6,2006-10-10 00:00:00,norman,22.937312000000002,0,norman2006
15,11.3,1008.5,2006-10-10 12:00:00,17.4,241.7,12,2006-10-10 00:00:00,norman,21.965392,0,norman2006
15,13.5,1011.3,2006-10-10 18:00:00,17.3,242.6,18,2006-10-10 00:00:00,norman,26.24184,0,norman2006
15,14.6,1007.9,2006-10-11 00:00:00,17.3,243.6,24,2006-10-10 00:00:00,norman,28.380064,0,norman2006
15,12.1,1010.8,2006-10-11 06:00:00,17.6,244.2,30,2006-10-10 00:00:00,norman,23.520464,0,norman2006
15,12.0,1008.6,2006-10-11 12:00:00,17.7,244.3,36,2006-10-10 00:00:00,norman,23.32608,0,norman2006
15,11.8,1011.3,2006-10-11 18:00:00,17.9,245.1,42,2006-10-10 00:00:00,norman,22.937312000000002,0,norman2006
15,12.6,1007.7,2006-10-10 00:00:00,16.4,242.1,0,2006-10-10 00:00:00,norman,24.492383999999998,0,norman2006
15,14.3,1008.4,2006-10-11 12:00:00,17.8,243.4,24,2006-10-10 12:00:00,norman,27.796912000000003,0,norman2006
15,10.3,1008.2,2006-10-10 12:00:00,17.1,241.9,0,2006-10-10 12:00:00,norman,20.021552,0,norman2006
15,12.5,1010.9,2006-10-10 18:00:00,16.9,242.2,6,2006-10-10 12:00:00,norman,24.298000000000002,0,norman2006
15,14.6,1008.1,2006-10-11 00:00:00,17.0,242.7,12,2006-10-10 12:00:00,norman,28.380064,0,norman2006
15,13.8,1011.3,2006-10-11 06:00:00,17.4,243.4,18,2006-10-10 12:00:00,norman,26.824992,0,norman2006
