Season,Cyclone Name,Latitude,Longitude,Pressure,Wind (Knots),Category,datetime,Name Season,Category numeric,Birth,Age (days),nameyear
1969/1970,Ada,-16.0,165.0,997.0,30.0,L,1970-01-03 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,0.0,ada1970
1969/1970,Ada,-16.2,163.6,997.0,30.0,L,1970-01-03 06:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,0.25,ada1970
1969/1970,Ada,-16.7,162.2,997.0,30.0,L,1970-01-04 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,1.0,ada1970
1969/1970,Ada,-17.0,160.8,997.0,30.0,L,1970-01-04 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,1.5,ada1970
1969/1970,Ada,-17.0,159.3,997.0,30.0,L,1970-01-05 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,2.0,ada1970
1969/1970,Ada,-17.0,158.1,997.0,30.0,L,1970-01-05 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,2.5,ada1970
1969/1970,Ada,-16.9,157.4,997.0,30.0,L,1970-01-06 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,3.0,ada1970
1969/1970,Ada,-16.7,156.5,997.0,30.0,L,1970-01-06 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,3.5,ada1970
1969/1970,Ada,-16.0,156.0,997.0,30.0,L,1970-01-07 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,4.0,ada1970
1969/1970,Ada,-15.5,156.0,997.0,30.0,L,1970-01-07 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,4.5,ada1970
1969/1970,Ada,-15.0,156.0,997.0,30.0,L,1970-01-08 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,5.0,ada1970
1969/1970,Ada,-14.6,156.2,997.0,30.0,L,1970-01-08 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,5.5,ada1970
1969/1970,Ada,-14.1,156.6,997.0,30.0,L,1970-01-09 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,6.0,ada1970
1969/1970,Ada,-13.9,156.9,997.0,30.0,L,1970-01-09 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,6.5,ada1970
1969/1970,Ada,-12.9,157.9,997.0,30.0,L,1970-01-10 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,7.0,ada1970
1969/1970,Ada,-12.0,159.0,997.0,30.0,L,1970-01-10 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,7.5,ada1970
1969/1970,Ada,-11.3,160.2,997.0,30.0,L,1970-01-11 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,8.0,ada1970
1969/1970,Ada,-11.0,161.3,997.0,30.0,L,1970-01-11 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,8.5,ada1970
1969/1970,Ada,-11.0,162.2,997.0,30.0,L,1970-01-12 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,9.0,ada1970
1969/1970,Ada,-11.3,162.8,997.0,30.0,L,1970-01-12 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,9.5,ada1970
1969/1970,Ada,-11.8,163.0,997.0,30.0,L,1970-01-13 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,10.0,ada1970
1969/1970,Ada,-13.0,163.0,997.0,30.0,L,1970-01-13 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,10.5,ada1970
1969/1970,Ada,-14.0,162.0,997.0,30.0,L,1970-01-14 00:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,11.0,ada1970
1969/1970,Ada,-14.9,161.0,997.0,30.0,L,1970-01-14 12:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,11.5,ada1970
1969/1970,Ada,-15.9,160.2,1004.0,,L,1970-01-14 23:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,11.958333333333334,ada1970
1969/1970,Ada,-17.2,158.0,1004.0,,L,1970-01-15 11:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,12.458333333333334,ada1970
1969/1970,Ada,-18.2,155.8,1004.0,,L,1970-01-15 23:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,12.958333333333334,ada1970
1969/1970,Ada,-18.8,154.2,996.0,,L,1970-01-16 08:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,13.333333333333334,ada1970
1969/1970,Ada,-18.9,153.5,992.0,,1,1970-01-16 11:00:00,Ada 1969/1970,1.0,1970-01-03 00:00:00,13.458333333333334,ada1970
1969/1970,Ada,-19.1,152.8,985.0,,2,1970-01-16 14:00:00,Ada 1969/1970,2.0,1970-01-03 00:00:00,13.583333333333334,ada1970
1969/1970,Ada,-19.6,151.0,972.0,,2,1970-01-16 23:00:00,Ada 1969/1970,2.0,1970-01-03 00:00:00,13.958333333333334,ada1970
1969/1970,Ada,-19.9,149.3,963.0,,3,1970-01-17 11:00:00,Ada 1969/1970,3.0,1970-01-03 00:00:00,14.458333333333334,ada1970
1969/1970,Ada,-20.0,149.1,962.0,,3,1970-01-17 13:00:00,Ada 1969/1970,3.0,1970-01-03 00:00:00,14.541666666666666,ada1970
1969/1970,Ada,-20.1,149.0,962.0,,3,1970-01-17 15:00:00,Ada 1969/1970,3.0,1970-01-03 00:00:00,14.625,ada1970
1969/1970,Ada,-20.2,148.9,962.0,,3,1970-01-17 17:00:00,Ada 1969/1970,3.0,1970-01-03 00:00:00,14.708333333333334,ada1970
1969/1970,Ada,-20.5,148.7,964.0,,3,1970-01-17 23:00:00,Ada 1969/1970,3.0,1970-01-03 00:00:00,14.958333333333334,ada1970
1969/1970,Ada,-20.8,148.5,982.0,,2,1970-01-18 05:00:00,Ada 1969/1970,2.0,1970-01-03 00:00:00,15.208333333333334,ada1970
1969/1970,Ada,-21.0,148.5,996.0,,L,1970-01-18 08:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,15.333333333333334,ada1970
1969/1970,Ada,-21.1,148.5,998.0,,L,1970-01-18 11:00:00,Ada 1969/1970,0.0,1970-01-03 00:00:00,15.458333333333334,ada1970
1969/1970,Dawn,-13.9,138.5,1000.0,,L,1970-02-10 05:00:00,Dawn 1969/1970,0.0,1970-02-10 05:00:00,0.0,dawn1970
1969/1970,Dawn,-13.1,139.5,999.0,,L,1970-02-10 11:00:00,Dawn 1969/1970,0.0,1970-02-10 05:00:00,0.25,dawn1970
1969/1970,Dawn,-12.0,141.8,994.0,,1,1970-02-10 23:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,0.75,dawn1970
1969/1970,Dawn,-11.7,143.0,994.0,,1,1970-02-11 05:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,1.0,dawn1970
1969/1970,Dawn,-11.5,143.6,994.0,,1,1970-02-11 08:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,1.125,dawn1970
1969/1970,Dawn,-11.4,144.2,992.0,,1,1970-02-11 11:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,1.25,dawn1970
1969/1970,Dawn,-11.5,144.6,990.0,,1,1970-02-11 17:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,1.5,dawn1970
1969/1970,Dawn,-12.0,146.7,992.0,,1,1970-02-11 23:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,1.75,dawn1970
1969/1970,Dawn,-13.0,147.9,992.0,,1,1970-02-12 11:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,2.25,dawn1970
1969/1970,Dawn,-14.0,149.1,994.0,,1,1970-02-12 23:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,2.75,dawn1970
1969/1970,Dawn,-14.2,149.9,995.0,,1,1970-02-13 05:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,3.0,dawn1970
1969/1970,Dawn,-14.2,151.1,995.0,,1,1970-02-13 11:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,3.25,dawn1970
1969/1970,Dawn,-13.6,153.4,995.0,,1,1970-02-13 23:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,3.75,dawn1970
1969/1970,Dawn,-13.5,154.4,995.0,,1,1970-02-14 05:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,4.0,dawn1970
1969/1970,Dawn,-13.5,155.4,995.0,,1,1970-02-14 11:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,4.25,dawn1970
1969/1970,Dawn,-13.6,157.4,995.0,,1,1970-02-14 23:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,4.75,dawn1970
1969/1970,Dawn,-13.9,158.9,995.0,,1,1970-02-15 08:00:00,Dawn 1969/1970,1.0,1970-02-10 05:00:00,5.125,dawn1970
